periodo;molienda_cereales_y_oleaginosas;resto_de_alimentos;bebidas;tabaco;textil_indumentaria_y_cuero;madera_papel_y_edicion;refinacion_de_petroleo;quimicos;caucho_y_plastico;minerales_no_metalicos;metales_basicos;metalmecanica;automotriz;resto_de_industria;total_industria
1/7/2017;107.788.267;134.691.353;4.325.546.300.000.000;2389,19;6.965.846.000.000.000;112.048.224;6.033.181.999.999.990;2.000.616.310.000.000;7.890.088.300.000.000;1.665.137.480.000.000;231.958.083;2.215.354.099.999.990;38150,55;936.049;1.268.837.262
1/8/2017;103.676.153;139.193.514;45648,71;2482;7.016.326.899.999.990;1.115.554.209.999.990;66.544.982;2.124.997.820.000.000;8.256.428.700.000.000;1.718.279.000.000.000;2.368.691.900.000.000;22.915.196;39986,02;1.056.654;1.306.983.078
1/9/2017;93.550.878;133281,18;46.115.755;2370,48;6.947.250.600.000.000;110.007.238;6.192.214.400.000.000;208.945.545;8.224.157.199.999.990;1.699.175.349.999.990;2.566.432.189.999.990;21.345.236;3.868.287.199.999.990;9.616.589.999.999.990;1.295.457.819
1/10/2017;103.072.468;134.583.651;4.926.521.099.999.990;2330,03;6.899.216.600.000.000;1.103.796.530.000.000;6.221.230.300.000.000;2.136.331.190.000.000;8.213.753.900.000.000;180.294.996;249.521.549;21.559.924;3.925.036.399.999.990;9.484.010.000.000.000;1.318.181.374.000.000
1/11/2017;9.161.922.799.999.990;1.370.564.829.999.990;53.945.477;2334,17;7.047.972.400.000.000;107.693.235;51.449.438;2.077.106.849.999.990;8.152.310.599.999.990;178298,47;2.707.551.220.000.000;21.896.501;3.966.138.299.999.990;1.028.617;1.315.451.639
1/12/2017;7.777.247.899.999.990;134.811.086;5.687.529.900.000.000;2368,81;6.246.059.699.999.990;101.317.031;6.715.571.700.000.000;2.169.340.640.000.000;7.660.646.899.999.990;1.756.648.730.000.000;230.385.043;20.556.686;35.969.069;1.142.585;1.260.019.808
1/1/2018;8.844.248.499.999.990;138.987.603;5.887.873.199.999.990;2732,03;5.593.539.899.999.990;104.174.979;6.354.164.599.999.990;2.151.423.260.000.000;7.387.357.600.000.000;170.084.144;1.990.473.769.999.990;18.997.525;29.525.774;1.120.567;1.220.484.163
1/2/2018;8.812.199.500.000.000;1.361.219.290.000.000;50.737.084;2415,79;5.785.496.399.999.990;1.032.611.949.999.990;5.653.549.200.000.000;1.892.425.250.000.000;7.268.846.000.000.000;1.597.575.759.999.990;246.320.495;20.012.909;37920,12;1.227.476;1222218,01
1/3/2018;98.809.942;1.443.529.730.000.000;5.419.866.900.000.000;2517,76;68.433.628;111099,57;63.376.857;2.126.629.770.000.000;7.857.141.599.999.990;175.949.649;283.873.917;21.391.283;4.134.277.400.000.000;1.109.972;1.357.691.387
1/4/2018;100.648.362;1.450.629.080.000.000;4.839.019.099.999.990;2337,9;6.548.448.099.999.990;106.110.182;6.107.175.000.000.000;2.068.502.510.000.000;7.757.638.899.999.990;1.781.451.119.999.990;2.824.202.830.000.000;21.738.136;39.816.643;1237,99;1.336.890.578
1/5/2018;107.470.847;1.408.437.480.000.000;4.417.036.999.999.990;2240,3;6.287.586.399.999.990;107.334.864;57.285.385;2.100.649.609.999.990;7.760.354.500.000.000;174.178.422;2.868.186.070.000.000;2.051.262.899.999.990;38.795.594;1.245.167;1.331.440.303
1/6/2018;9.702.489.600.000.000;129.468.036;3.646.933.299.999.990;1887,07;60490,41;107266,49;6.028.301.500.000.000;187.113.671;6.974.762.500.000.000;1.620.085.499.999.990;2.677.806.990.000.000;18.578.819;3.607.750.399.999.990;1.199.835;1.235.395.953
1/7/2018;9.199.648.499.999.990;1.345.831.229.999.990;4.091.841.999.999.990;1990,89;6.073.283.699.999.990;1.043.398.350.000.000;62.980.665;1.823.425.310.000.000;6.944.785.599.999.990;154.445.134;273.585.577;19.260.133;3.801.458.300.000.000;1.223.968;1.235.862.037
1/8/2018;8.952.393.699.999.990;138.164.833;4.286.573.399.999.990;2007,93;6.018.536.299.999.990;104.640.585;68.136.243;188.549.241;7.366.897.899.999.990;167.031.137;2.830.657.019.999.990;20.415.712;39.711.089;1.277.523;1.279.244.008
1/9/2018;8.722.481.200.000.000;1.318.871.550.000.000;4.160.624.300.000.000;1892,61;5.615.079.100.000.000;102.843.982;7.035.172.200.000.000;192.966.731;7.070.643.800.000.000;168.476.591;2.642.075.249.999.990;17.608.229;34.855.071;1.172.069;1.241.949.969
1/10/2018;9.103.336.300.000.000;134.880.888;4.790.259.599.999.990;2099,33;5.404.242.699.999.990;1.044.716.850.000.000;6.379.381.600.000.000;202.397.493;7.065.053.600.000.000;1.669.783.859.999.990;279.036.172;1.815.824.499.999.990;3.666.625.999.999.990;1.086.478;1.273.197.675
1/11/2018;9.225.147.900.000.000;136038,56;4.762.915.200.000.000;2199,65;5.081.882.700.000.000;1.009.206.510.000.000;60.563.454;197679,59;6.957.895.599.999.990;1.620.907.659.999.990;281.040.749;18.672.311;3.581.318.000.000.000;1.125.192;1.256.422.517
1/12/2018;81.609.071;132.668.649;4.745.103.000.000.000;1902,3;39.761.862;9.242.064.500.000.000;65.287.905;207.476.393;6.285.952.599.999.990;164.200.065;1.770.669.970.000.000;1.714.191.599.999.990;2.841.144.800.000.000;1.097.457;1.119.355.264
1/1/2019;8.568.009.399.999.990;139.135.029;4.999.797.100.000.000;2507,41;3.579.340.799.999.990;9.413.741.900.000.000;6.626.791.100.000.000;204.428.637;64.122.615;1.527.153.960.000.000;193.980.089;13.635.414;2.455.533.099.999.990;1.183.382;1.128.140.106
1/2/2019;85.390.719;136890,32;45.476.192;2161,61;5.114.845.000.000.000;96.149.519;5.847.256.700.000.000;1.894.569.300.000.000;6.496.233.099.999.990;1.497.083.569.999.990;182.255.819;17.289.261;33.680.418;1.307.475;1.114.349.968
1/3/2019;9.275.165.599.999.990;1.392.730.740.000.000;4.563.707.599.999.990;1998,11;5.640.708.100.000.000;9.997.981.699.999.990;64.453.736;208.036.475;6.413.341.700.000.000;167.340.456;251.233.063;18214,78;30.464.087;1.019.159;1.240.941.987.000.000
1/4/2019;118.819.844;1.391.690.379.999.990;4.562.649.499.999.990;1811,1;5.744.424.200.000.000;9.484.295.600.000.000;5.115.212.499.999.990;1.987.093.630.000.000;6.421.145.199.999.990;163324,06;2.667.479.999.999.990;18.678.929;30.695.269;1.057.984;1.252.290.857
1/5/2019;117.314.435;1.404.319.530.000.000;38.363.923;1851,4;5.860.424.699.999.990;98.940.568;6.367.643.199.999.990;2.010.704.540.000.000;6.651.151.900.000.000;164.659.112;2.608.309.820.000.000;20.290.674;3.129.182.299.999.990;9.550.939.999.999.990;1.264.792.616
1/6/2019;114.151.498;1.316.024.550.000.000;34.597.106;1545,08;56.821.684;9.716.279.600.000.000;5.965.306.000.000.000;176.581.015;6.107.155.299.999.990;144.107.961;2.443.017.080.000.000;19.519.746;2.796.661.700.000.000;9.779.150.000.000.000;1.170.060.194
1/7/2019;112.758.919;1.358.750.059.999.990;39.414.575;1733,6;6.100.015.500.000.000;9.953.113.700.000.000;60.247.613;1.858.384.260.000.000;6.509.524.100.000.000;149.020.475;259.305.781;20257,29;30.352.503;1.021.293;1.221.452.014
1/8/2019;100.989.097;1.374.346.600.000.000;4.265.978.200.000.000;1720,43;6.090.118.399.999.990;102756,17;68.950.764;1.896.715.590.000.000;6.529.091.699.999.990;1.686.014.950.000.000;2.845.819.510.000.000;19.432.853;3.219.020.299.999.990;1.060.243;1.276.241.308
1/9/2019;86.007.429;128.276.078;4.753.594.700.000.000;1583,61;5.887.099.000.000.000;9.894.876.400.000.000;6.525.409.100.000.000;1.790.949.659.999.990;6.343.320.400.000.000;1.698.970.269.999.990;2.521.723.320.000.000;19.208.235;30.340.795;1.148.548;1.201.772.016
1/10/2019;8.728.026.000.000.000;133.216.695;49.882.858;1746,43;5.997.641.800.000.000;106.562.272;6.567.073.300.000.000;203.410.861;6.692.224.299.999.990;1.680.861.819.999.990;2.654.123.779.999.990;1.957.452.299.999.990;32.362.021;1.159.724;1.261.263.598
1/11/2019;8.151.093.699.999.990;135.973.365;51.106.603;1724,53;6.060.927.399.999.990;103.932.685;62.122.094;1.983.077.769.999.990;6.770.533.899.999.990;146.252.445;2.453.010.680.000.000;19.880.404;31.621.942;1.234.422;1.207.282.885
1/12/2019;7.033.960.099.999.990;1.344.229.080.000.000;55.117.806;1.696.136;4.675.250.000.000.000;9.552.725.499.999.990;6.773.841.500.000.000;2.027.000.900.000.000;6.414.154.200.000.000;1.466.483.769.999.990;160.841.379;17.741.675;2.557.316.299.999.990;1216,65;1.090.457.497
1/1/2020;8.228.184.500.000.000;1.366.957.660.000.000;5.914.931.599.999.990;2.076.643;4.837.114.599.999.990;9.596.624.200.000.000;6.548.675.300.000.000;2.066.483.870.000.000;6.028.154.099.999.990;146.390.786;152.989.542;1.769.465.000.000.000;2.658.175.800.000.000;1.127.279;1.101.741.654
1/2/2020;7.837.418.700.000.000;136.555.308;5.300.773.100.000.000;1.963.465;5.547.014.700.000.000;9.429.779.900.000.000;5.963.412.899.999.990;189.870.016;6.326.868.100.000.000;146.295.404;1.782.572.289.999.990;19.059.429;3.196.454.500.000.000;1.113.427;1.109.131.497
1/3/2020;8.168.802.700.000.000;1.398.820.710.000.000;5.179.087.699.999.990;1.640.245;4.378.503.399.999.990;87.870.894;6.187.263.300.000.000;206.343.803;5.590.722.600.000.000;106833,85;148.846.297;17.359.355;25.893.066;1.205.546;1.030.918.924
1/4/2020;9.023.797.999.999.990;1.326.103.889.999.990;4.081.407.000.000.000;4.004.450.000.000.000;1.663.861.500.000.000;7.998.736.600.000.000;5.398.273.999.999.990;174.971.192;3.759.315.800.000.000;5.461.187.099.999.990;5.499.701.600.000.000;10.667.104;8.676.354.000.000.000;1.074.971;7.572.632.709.999.990
1/5/2020;9.430.122.200.000.000;138.167.201;36.234.749;1.665.244;32.828.099;9.065.334.699.999.990;5.952.065.500.000.000;1.932.768.690.000.000;5.204.148.500.000.000;9.709.103.400.000.000;133.480.193;15862,56;15.977.022;1103,59;9.622.032.699.999.990
1/6/2020;89.554.045;132.454.265;3.548.533.200.000.000;2.153.423;4.499.618.100.000.000;8.796.654.499.999.990;6.070.320.099.999.990;177.115.902;57.822.209;117.235.899;151.928.475;18.422.621;25.508.137;1.226.007;1.002.572.242
1/7/2020;9.199.197.600.000.000;1.317.484.580.000.000;3.955.073.899.999.990;2.108.244;5.142.636.699.999.990;9.856.036.800.000.000;62.691.201;1.917.931.440.000.000;5.811.801.399.999.990;1.424.652.829.999.990;1.617.660.100.000.000;1.926.491.200.000.000;28.691.529;1.135.911;1.081.312.156
1/8/2020;9.324.137.800.000.000;132.014.379;42.866.969;1.882.376;5.436.392.099.999.990;9.835.770.300.000.000;6.597.309.799.999.990;1.957.003.690.000.000;6.457.304.500.000.000;158.885.823;175.248.246;20.711.842;3.005.981.299.999.990;1.211.451;1.135.090.412.999.990
1/9/2020;8.456.790.699.999.990;129.405.801;4.422.092.600.000.000;1715,31;5.528.079.700.000.000;100.334.663;6.105.530.899.999.990;191.651.314;6.649.207.699.999.990;1.614.003.510.000.000;1.890.460.420.000.000;20.553.894;31.276.497;1.209.464;1.138.210.352
1/10/2020;8.661.179.999.999.990;1.335.954.929.999.990;4.730.737.599.999.990;1.670.143;6.045.781.299.999.990;100236,14;6.656.173.000.000.000;198.507.459;6.933.088.000.000.000;174.616.496;2.065.249.810.000.000;21.265.556;31.132.046;1.144.151;1.198.962.064
1/11/2020;9.171.784.899.999.990;135.178.824;4.942.000.499.999.990;1.912.542;6.142.624.400.000.000;9.969.131.700.000.000;6.748.342.999.999.990;208.011.587;71.812.425;1.724.065.659.999.990;2.222.853.070.000.000;22.247.497;3.336.124.799.999.990;1.263.727;1.238.218.568
1/12/2020;44.683.313;132560,39;5.520.737.999.999.990;1.740.666;4.824.660.199.999.990;9.470.038.400.000.000;6.969.768.699.999.990;209.944.103;6.570.600.300.000.000;161.230.309;2.139.647.779.999.990;2.057.735.400.000.000;3.066.708.500.000.000;1.155.292;1.150.081.346
1/1/2021;8.069.496.800.000.000;1.351.988.090.000.000;5.649.228.100.000.000;1.883.733;5.231.528.100.000.000;8.733.781.599.999.990;7.354.376.299.999.990;2.093.029.990.000.000;6.864.757.799.999.990;163.113.358;224.704.758;19490,18;28.221.856;1251,09;1202198,47
1/2/2021;8.638.630.799.999.990;133.471.333;5.037.895.099.999.990;1.767.481;5.764.793.900.000.000;9.484.608.799.999.990;6.354.339.000.000.000;1.821.028.940.000.000;6.428.728.600.000.000;1.414.430.790.000.000;1.932.769.429.999.990;2.176.500.399.999.990;3.031.406.700.000.000;1.308.315;1.122.539.078
1/3/2021;9.935.481.399.999.990;1.458.630.370.000.000;5.516.483.099.999.990;2.210.738;6.487.423.300.000.000;100103,65;6.502.351.600.000.000;2.122.009.170.000.000;7.026.524.700.000.000;171.848.251;258.049.291;22.707.632;3.717.862.799.999.990;1.248.898;1.306.093.683
1/4/2021;9.444.074.200.000.000;1.418.269.219.999.990;4.836.386.499.999.990;1.941.346;6.149.714.499.999.990;9.558.660.499.999.990;56.291.885;2.129.183.340.000.000;6.765.635.300.000.000;1.658.814.369.999.990;2.288.539.569.999.990;21858,35;31.884.864;1.292.017;1.230.293.821.999.990
1/5/2021;9.909.856.399.999.990;1.379.990.880.000.000;4.222.306.699.999.990;1.665.846;6.108.509.500.000.000;9.592.275.000.000.000;6.252.106.300.000.000;212.879.895;6.565.073.999.999.990;161.828.746;279.737.664;21.723.351;3.378.590.200.000.000;1.233.332;1.277.355.103
1/6/2021;9.626.560.599.999.990;131.946.125;42.416.988;1.807.965;6.010.592.499.999.990;101.627.563;6.524.373.700.000.000;2.025.333.020.000.000;6.754.138.999.999.990;160.896.609;271404,6;2.222.852.700.000.000;34.748.356;1.276.407;1.260.043.100.000.000
1/7/2021;9.930.478.700.000.000;137.158.609;40909,22;1.497.814;6.239.970.600.000.000;105.994.521;6.651.181.300.000.000;189.080.756;6.692.872.600.000.000;1.661.342.209.999.990;2.740.606.590.000.000;22.700.662;3.377.482.400.000.000;1.238.363;1.267.694.681
1/8/2021;8.699.139.700.000.000;1.381.715.160.000.000;4.603.484.800.000.000;1.722.493;6.273.896.800.000.000;101.173.155;65.706.079;1.936.395.249.999.990;6.830.435.900.000.000;1.750.133.320.000.000;2.912.763.229.999.990;22.913.531;35.168.876;1.323.829;1.290.178.231
1/9/2021;8.629.673.999.999.990;140048,46;4.783.399.599.999.990;1.584.742;6.380.438.099.999.990;1.019.311.900.000.000;6.365.437.300.000.000;2.000.643.699.999.990;6.955.201.299.999.990;1.789.623.100.000.000;289857,17;22.476.936;33.955.328;1.249.254;1.301.271.263
1/10/2021;8.718.938.600.000.000;133.663.727;4.915.932.900.000.000;1597,76;6.230.793.900.000.000;1.039.918.240.000.000;66.279.433;2.006.146.769.999.990;6.841.394.799.999.990;174.930.037;295.538.996;2.126.481.600.000.000;3.389.263.799.999.990;1.210.752;1.300.055.262
1/11/2021;8.511.025.899.999.990;1.367.637.659.999.990;54.378.959;1.620.632;63.804.686;104.026.667;7.406.149.999.999.990;215.402.451;7.135.701.300.000.000;179.134.058;2.902.084.780.000.000;22.293.692;3.677.609.900.000.000;1.349.573;1.336.287.833
1/12/2021;6.888.107.000.000.000;136.522.045;59.111.393;1.669.606;50.187.153;9.779.897.700.000.000;7.479.347.500.000.000;2.177.746.990.000.000;6.825.026.600.000.000;171.539.929;279258,49;21.879.687;3.514.174.300.000.000;1.350.621;1.284.159.154
1/1/2022;74.420.149;135.727.436;59.395.165;1838,02;48.248.399;9.812.810.699.999.990;7.344.223.299.999.990;2.220.433.419.999.990;6.323.159.599.999.990;162.758.264;2.230.965.890.000.000;19.623.439;26.379.773;1.316.734;1.209.649.246
2/1/2022;80.327.649;1.347.254.919.999.990;5.562.606.900.000.000;1.784.194;60.329.242;9.768.067.400.000.000;5.562.161.700.000.000;200.678.728;6.724.060.899.999.990;154.719.241;2.275.782.690.000.000;21.104.544;3.282.340.200.000.000;1.451.891;1.191.691.621
3/1/2022;8.944.007.100.000.000;141.014.553;5.820.792.599.999.990;1.783.748;6.491.993.399.999.990;1.009.581.379.999.990;6.072.381.200.000.000;2.221.765.719.999.990;7.098.283.799.999.990;169.142.301;2.824.095.059.999.990;22.328.679;35.640.583;1.253.407;1.320.982.067.999.990
4/1/2022;9.931.014.200.000.000;139.625.516;5.119.938.999.999.990;1540,68;6.340.370.300.000.000;9.913.765.299.999.990;63.666.063;2.165.991.410.000.000;7.225.733.100.000.000;168.721.191;2.450.958.110.000.000;22.863.093;3.384.534.700.000.000;1.356.062;1.278.621.123
5/1/2022;103.026.354;141.259.257;49.125.404;1.428.104;6.321.616.099.999.990;103.092.831;6.863.874.900.000.000;217.833.648;6.872.213.400.000.000;1.792.505.569.999.990;301.124.143;22.893.392;33.547.783;1.265.533;1.354.424.050.000.000
6/1/2022;9.706.107.400.000.000;134.712.457;4.461.987.100.000.000;1.372.544;6.346.720.500.000.000;1.090.308.140.000.000;6.180.264.600.000.000;209.087.825;6.762.357.299.999.990;1.659.686.080.000.000;312.317.352;23.366.558;3.569.986.999.999.990;1.355.967;1.327.486.364
7/1/2022;93.618.086;139.193.741;4.611.849.199.999.990;1.468.406;65.909.338;107.930.989;6.650.869.399.999.990;203.634.365;6.867.070.099.999.990;1.734.949.509.999.990;3.067.808.770.000.000;22.975.494;3.683.934.899.999.990;1312,39;1.334.455.873
8/1/2022;8.552.444.999.999.990;1.423.892.919.999.990;4.673.756.699.999.990;1.480.974;6.739.119.099.999.990;1.013.681.690.000.000;67.824.936;2.085.243.049.999.990;7.025.934.600.000.000;1.923.551.949.999.990;3.062.045.129.999.990;23.480.371;37.490.923;1.331.611;1.352.362.842.999.990
9/1/2022;9.188.938.099.999.990;1.361.892.379.999.990;4.914.865.599.999.990;1413,2;6.387.341.100.000.000;1.042.022.510.000.000;6.773.979.600.000.000;207.677.697;6.801.298.300.000.000;175.961.978;303.928.602;22518,98;35.182.276;1.316.547;1.329.054.996
10/1/2022;8.969.030.700.000.000;135135,7;5.043.422.800.000.000;1.428.131;6.206.560.100.000.000;102.924.982;6.829.118.700.000.000;214.315.467;7.065.694.400.000.000;188.125.042;3.127.357.860.000.000;21.852.913;35.542.336;1.317.541;1.354.516.165
11/1/2022;9.197.813.099.999.990;1.396.996.670.000.000;5.477.510.899.999.990;1.554.218;6.343.947.600.000.000;101956,21;6.387.582.800.000.000;2.155.243.929.999.990;7.188.935.299.999.990;1.745.337.019.999.990;295770;22.363.003;3.886.124.700.000.000;1.558.649;1.337.778.986
12/1/2022;7.866.717.799.999.990;1.371.588.750.000.000;5.752.588.499.999.990;1487,24;50.403.929;9.643.389.100.000.000;7.053.484.400.000.000;2.107.361.990.000.000;6.500.050.700.000.000;175.487.384;263.814.002;20.388.323;3.470.370.899.999.990;1.587.541;1.263.929.507
1/1/2023;6.833.868.599.999.990;1.447.931.190.000.000;6.147.415.200.000.000;1.730.227;4.651.241.799.999.990;103.203.167;7.276.072.200.000.000;2.091.342.580.000.000;6.705.959.099.999.990;1.533.528.649.999.990;2.773.684.559.999.990;19.498.335;28.889.544;1.502.874;1.255.618.414
2/1/2023;6.603.902.100.000.000;1.376.205.630.000.000;54.454.018;1.482.535;5.939.538.499.999.990;9.758.878.400.000.000;6.188.081.200.000.000;1.922.249.800.000.000;6.547.447.599.999.990;154.719.027;211391,73;20.522.237;3.597.094.299.999.990;1.442.233;1.160.206.744
3/1/2023;8.481.618.499.999.990;152.921.983;5.973.167.300.000.000;1790,44;6.787.797.400.000.000;105.343.524;6.698.627.099.999.990;212.769.329;72.881.004;1.748.810.270.000.000;2.709.285.189.999.990;22.867.015;4.331.346.100.000.000;1.440.606;1.338.549.011
4/1/2023;8.454.376.699.999.990;1.422.633.580.000.000;4.916.801.400.000.000;1.423.967;6.262.347.300.000.000;9.757.979.600.000.000;6.515.383.000.000.000;2.108.204.059.999.990;72.572.807;1.670.600.719.999.990;2.612.556.459.999.990;2.235.422.300.000.000;36052,44;1.460.664;1.274.332.463
5/1/2023;90.303.038;1.471.888.059.999.990;4.358.943.999.999.990;1.376.112;6.137.322.900.000.000;103.734.416;6.813.656.299.999.990;2.115.356.680.000.000;6.973.552.599.999.990;170.870.622;2.952.439.459.999.990;23.133.658;35768,61;1.359.514;1.323.349.148
6/1/2023;9.382.775.200.000.000;138.551.217;4.041.866.299.999.990;1317,78;6.098.195.300.000.000;102.820.455;65.814.068;2.026.458.279.999.990;6.899.959.300.000.000;159.474.869;2.698.833.850.000.000;23.019.603;3.660.850.800.000.000;1409,54;1.265.773.214
7/1/2023;9.198.405.599.999.990;141.200.044;4.224.966.700.000.000;1.413.854;6.467.689.800.000.000;105.945.072;6.547.376.100.000.000;2.023.541.449.999.990;71.623.787;1.563.744.080.000.000;200.575.109;22.470.882;36.520.989;1.384.008;1204246,68
8/1/2023;9.025.467.399.999.990;1.402.556.370.000.000;47.946.866;1.443.845;6.556.047.899.999.990;103.883.477;59.335.177;1.994.289.740.000.000;7.151.916.800.000.000;167.865.713;2.632.505.170.000.000;24.227.796;3.845.403.299.999.990;1390,89;1.274.817.246
9/1/2023;7.334.256.700.000.000;1.432.176.279.999.990;4.785.476.299.999.990;1.334.184;6.394.410.900.000.000;1.043.727.070.000.000;65.194.323;206.247.874;7.311.303.300.000.000;1.737.490.700.000.000;2.980.285.980.000.000;23550,66;3.666.480.800.000.000;1.350.719;1.311.965.043
10/1/2023;7.090.412.699.999.990;138.823.963;4.933.957.199.999.990;1.304.502;6.317.466.499.999.990;101.657.356;56.467.062;208.117.936;69.081.495;1.758.159.900.000.000;307.042.422;22.943.328;3.584.033.100.000.000;1.291.031;1301803,78
11/1/2023;69.608.439;138.466.074;5.460.374.700.000.000;1.528.419;6.535.078.700.000.000;100.917.538;6.115.182.200.000.000;2.088.617.610.000.000;6.907.065.000.000.000;168.622.477;2.820.866.579.999.990;22603,14;3.824.972.600.000.000;1.406.325;1.282.527.563
12/1/2023;6.955.421.100.000.000;134.644.653;5.848.290.600.000.000;1.455.813;5.187.393.600.000.000;9.515.236.899.999.990;66.016.599;1.952.463.790.000.000;6.298.680.699.999.990;1.657.573.280.000.000;2.263.650.019.999.990;2.020.581.800.000.000;3.309.384.900.000.000;1.516.676;1.182.352.346
1/1/2024;6.982.489.500.000.000;1.444.159.879.999.990;5.586.180.999.999.990;1.847.146;3.913.352.400.000.000;9.768.363.099.999.990;6.590.128.799.999.990;194.592.526;57.725.044;1.356.030.460.000.000;2.659.187.690.000.000;19.896.281;25.014.172;1.637.338;1.175.055.458
